Modelltyp,Term,Koeffizient,SE,Statistik,p_Wert
Robustheitsmodell A (+ Recommended IND),1/2,-1.457219620804333,0.05276017648716348,-27.619688140332013,6.456467353063483e-168
Robustheitsmodell A (+ Recommended IND),2/3,0.48832721129870565,0.02289052785572125,21.333156420709333,5.590528027991498e-101
Robustheitsmodell A (+ Recommended IND),3/4,1.0036034045415252,0.021240492707928292,47.24953504336164,0.0
Robustheitsmodell A (+ Recommended IND),4/5,0.6305449157165974,0.014243451423218628,44.26910985133347,0.0
Robustheitsmodell B (+ Positive Feedback Count),Age_c,0.004514169110877307,0.0011272133759662655,4.004715706117032,6.209211015576938e-05
Robustheitsmodell B (+ Positive Feedback Count),Age_c_sq,0.00032622442268466555,6.955944763235988e-05,4.689865054835514,2.7338528527738695e-06
Robustheitsmodell B (+ Positive Feedback Count),Division_General Petite,0.06605266746152037,0.027652126089785813,2.388701224891312,0.016908046277397587
Robustheitsmodell B (+ Positive Feedback Count),Division_Initmates,0.13802602855461701,0.140776279221699,0.9804636783818472,0.32685729020747545
Robustheitsmodell B (+ Positive Feedback Count),Department_Dresses,-0.2441598121536836,0.04059457287945023,-6.014592464828768,1.803398079372926e-09
Robustheitsmodell B (+ Positive Feedback Count),Department_Intimate,-0.11404210197721137,0.1331631498661014,-0.8564088645536195,0.3917716631231397
Robustheitsmodell B (+ Positive Feedback Count),Department_Jackets,0.02033965453786955,0.07087261076366003,0.28698892729797276,0.7741207985219343
Robustheitsmodell B (+ Positive Feedback Count),Department_Tops,-0.22467971713057652,0.037614942942322274,-5.973150550170826,2.3271495732014037e-09
Robustheitsmodell B (+ Positive Feedback Count),Department_Trend,-0.6708046294250049,0.17412706459974123,-3.852385790611908,0.00011697253881068375
Robustheitsmodell B (+ Positive Feedback Count),Positive_Feedback_Count,-0.017153097346027938,0.0021609932143373044,-7.937598893057214,2.0613267943640453e-15
Robustheitsmodell B (+ Positive Feedback Count),1/2,-3.43649935702933,0.04875191824647771,-70.48952083598505,0.0
Robustheitsmodell B (+ Positive Feedback Count),2/3,0.1275828522075412,0.025838483419676966,4.937706680972696,7.904661374892509e-07
Robustheitsmodell B (+ Positive Feedback Count),3/4,-0.06225634377646895,0.01823589522788938,-3.4139450242758658,0.0006402949434752834
Robustheitsmodell B (+ Positive Feedback Count),4/5,0.0036635584260146176,0.013160008860065336,0.2783857112081328,0.7807162869704565
Basismodell,Geschätztes Minimum (Age),37.38869697855895,,,
Basismodell,McFadden Pseudo-R2,0.0009958884987784078,,,
Basismodell,AIC,55292.16558380401,,,
Basismodell,N,22640.0,,,
Basismodell,Condition Number (roh),208.98832761213154,,,
Basismodell,Condition Number (zentriert),21.92704969912387,,,
Hauptmodell,Geschätztes Minimum (Age),37.227536594793385,,,
Hauptmodell,McFadden Pseudo-R2,0.0025514368460666237,,,
Hauptmodell,AIC,55204.75935057062,,,
Hauptmodell,N,22627.0,,,
Hauptmodell,Condition Number (roh),34499.32008133961,,,
Hauptmodell,Condition Number (zentriert),3789.729197864666,,,
Robustheitsmodell A (+ Recommended IND),Geschätztes Minimum (Age),43.55815182976646,,,
